band_gap,sample,crystal_size,base,dopant,crystal_system,ssa,a,c,dopant_conc
3.122,pure TiO2,190.0,Ti,X,anatase,-0.685317563081747,0.9426743417785093,-0.43036716760229127,-0.5923678882588421
3.087,1.0% Cu−3.5% In−TiO2,80.0,Ti,In,anatase,-0.7128636862833814,0.9788682022619591,1.598636266008887,-0.1744090977701696
2.43,5 mol % Cu-doped TiO2 (700°C),,Ti,Cu,anatase,0.6825442119022636,0.9591260965437138,-0.4601478363090303,0.004716098153547183
2.51,5 mol % Cu-doped TiO2 (600°C),,Ti,Cu,anatase,0.8084693465383056,1.0446752213227792,1.58009943557849,0.004716098153547183
2.28,"5 mol % Cu, 15 mol % Zr co-doped TiO2 (700 °C)",,Ti,Zr,anatase,0.4464345844596831,1.1697085575383381,2.7826015644664754,1.198884070978326
2.32,"5 mol % Cu, 15 mol % Zr co-doped TiO2 (600 °C)",,Ti,Zr,anatase,0.5093971517777046,1.0841594327592712,1.92033996831706,1.198884070978326
2.95,undoped-TiO2,132.7,Ti,X,anatase,1.5010575870365392,1.024933115604534,-0.6302946116679248,-0.5923678882588421
2.85,S-doped TiO2 (K2S2O8/Ti = 0.25),129.9,Ti,S,anatase,1.3436511687414863,0.9920296060741232,-0.7465314977525951,-0.29382589505264745
2.83,S-doped TiO2 (K2S2O8/Ti = 0.5),94.1,Ti,S,anatase,1.3121698850824752,1.024933115604534,1.669195814098784,0.004716098153547183
2.78,S-doped TiO2 (K2S2O8/Ti = 1),73.4,Ti,S,anatase,1.2334666759349489,1.024933115604534,1.633318077781887,0.6018000845659365
2.79,S-doped TiO2 (K2S2O8/Ti = 2),61.2,Ti,S,anatase,1.2492073177644543,1.024933115604534,1.6034199641844737,1.795968057390715
2.82,S-doped TiO2 (K2S2O8/Ti = 3),67.3,Ti,S,anatase,1.296429243252969,0.9920296060741232,1.5974403414649911,2.990136030215494
3.23,pure TiO2,160.0,Ti,X,anatase,-0.6003180972024181,0.9722875003558779,-0.3048313306308467,-0.5923678882588421
2.95,S0.05/TiO2,111.0,Ti,S,anatase,-0.8206870828154923,0.9755778513089185,1.650061021396439,0.004716098153547183
2.81,S0.05V0.001/TiO2,107.0,Ti,S,anatase,-0.9308715756220297,0.9821585532150012,1.598038303736939,0.004716098153547183
2.88,S0.05Fe0.001/TiO2,107.0,Ti,S,anatase,-0.875779329218761,0.9986103079802059,1.7212185317582838,0.004716098153547183
3.23,S0.05Zn0.001/TiO2,118.0,Ti,S,anatase,-0.6003180972024181,1.0348041684636573,1.5699340769553698,0.004716098153547183
3.11,undoped-TiO2,,Ti,X,anatase,1.7529078563086227,1.0078232906487212,-0.4443155939324515,-0.5923678882588421
2.91,V-doped TiO2,,Ti,V,anatase,1.4380950197185174,1.0190104838890592,-0.6767893661017927,-0.5923678882588421
2.92,N-doped TiO2,,Ti,N,anatase,1.453835661548022,1.0305267122247037,1.6134657303532047,-0.1982924572266652
2.76,"V,N co-doped TiO2",,Ti,N,anatase,1.2019853922759378,1.056520484753727,1.6199237228902459,-0.12664237885717847
3.18,pure TiO2,,Ti,X,anatase,-0.6396697017761814,1.01177171179237,-0.3629497736731816,-0.5923678882588421
2.9,N−TiO2,,Ti,N,anatase,-0.8600386873892559,1.0084813608393293,-0.6884130547102597,-0.5923678882588421
3.02,La−TiO2,,Ti,La,anatase,-0.7655948364122244,0.9920296060741232,-0.5489287914086549,-0.5923678882588421
2.84,N/La−TiO2,,Ti,N,anatase,1.32791052691198,1.01177171179237,-0.7581551863610626,-0.5923678882588421
2.91,undoped-TiO2,200.0,Ti,X,anatase,-0.8521683664745032,0.9788682022619591,-0.6767893661017927,-0.5923678882588421
2.72,"Ce-doped TiO2, “C0.03T1”",141.0,Ti,Ce,anatase,-1.0017044638548036,0.9722875003558779,1.5938525678333013,-0.23411749641140853
2.67,"Ce-doped TiO2, “C0.01T1”",137.0,Ti,Ce,anatase,-1.0410560684285668,0.9657067984497951,-0.9557578927050023,-0.47295109097636423
2.7,"Ce-doped TiO2, “C0.05T1”",145.0,Ti,Ce,anatase,-1.0174451056843086,0.9624164474967545,1.5914607187455074,0.004716098153547183
2.65,"Ce,Si co-doped TiO2, “C0.01T1S0.05”",106.0,Ti,Si,anatase,1.0288383321513792,0.9591260965437138,1.5956464546491462,0.004716098153547183
2.51,"Ce,Si co-doped TiO2, “C0.01T1S0.5”",85.0,Ti,Si,anatase,0.8084693465383056,0.9262225870133032,1.598636266008887,2.990136030215494
2.71,"Ce,Si co-doped TiO2, “C0.01T1S1”",78.0,Ti,Si,anatase,1.1232821831284112,0.9262225870133032,1.6099975491759044,5.37847197586505
2.82,"Ce-doped TiO2, “C0.005T1”",,Ti,Ce,anatase,-0.9230012547072775,0.9196418851072219,-0.7814025635779971,-0.5326594896176032
3.21,undoped-TiO2 (475 °C),,Ti,X,anatase,-0.6160587390319237,1.130224346101846,-0.3280787078477812,-0.5923678882588421
3.2,Ce(2%)Co(4%)−TiO2 (600 °C),,Ti,Co,anatase,-0.6239290599466764,1.07757873085319,2.6259354492160267,-0.11470069912893067
3.22,undoped-TiO2,,Ti,X,anatase,-0.608188418117171,0.9788682022619591,-0.3164550192393137,-0.5923678882588421
3.25,1% Nb-doped TiO2,,Ti,Nb,anatase,1.9732768419216975,1.01177171179237,-0.28158395341391274,-0.47295109097636423
2.98,pure TiO2,340.9,Ti,X,anatase,-0.7970761200712345,0.9788682022619591,-0.5954235458425233,-0.5923678882588421
2.45,Ag-doped TiO2(400 °C),123.3,Ti,Ag,anatase,0.714025495561274,0.999268378170814,1.6227341455684028,2.2736352465206267
2.51,Ag-doped TiO2 (500 °C),109.6,Ti,Ag,anatase,-1.1669812030646092,0.9821585532150012,1.6219567946148696,1.915384854673193
2.54,Ag-doped TiO2 (600 °C),197.3,Ti,Ag,anatase,-1.1433702403203512,0.9788682022619591,1.6129873605356462,4.30372080032275
2.59,Ag-doped TiO2 (700 °C),328.8,Ti,Ag,anatase,-1.1040186357465878,0.999268378170814,1.6227341455684028,3.945470408475316
3.18,undoped-TiO2,,Ti,X,anatase,-0.6396697017761814,1.039739694893219,-0.3629497736731816,-0.5923678882588421
3.1,1 wt % Mn-doped TiO2,,Ti,Mn,anatase,-0.702632269094203,1.039739694893219,-0.45593928254091853,-0.47295109097636423
2.7,5 wt % Mn-doped TiO2,,Ti,Mn,anatase,-1.0174451056843086,1.043359080941563,1.6209402587525579,0.004716098153547183
2.7,10 wt % Mn-doped TiO2,,Ti,Mn,anatase,-1.0174451056843086,1.0321718877012234,1.5942113451964695,0.6018000845659365
2.45,20 wt % Mn-doped TiO2 (TMA400),,Ti,Mn,anatase,0.714025495561274,0.9795262724525673,1.6022838358677716,1.795968057390715
