band_gap,sample,crystal_size,ssa,a,c,base,primary_dopant,secondary_dopant,primary_conc,secondary_conc,base_conc,crystal_system,reference
3.122,pure TiO2,190,43,3.765,9.486,Ti,,,0,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S0926860X15000101?via%3Dihub
3.087,1.0% Cu−3.5% In−TiO2,80,85,3.776,9.462,Ti,In,Cu,3.5,1,95.5,anatase,https://www.sciencedirect.com/science/article/pii/S0926860X15000101?via%3Dihub 
2.43,5 mol % Cu-doped TiO2 (700°C),,110.7,3.77,6.019,Ti,Cu,,5,0,95,anatase,https://link.springer.com/article/10.1007/s10971-015-3661-0 
2.51,5 mol % Cu-doped TiO2 (600°C),,150.9,3.796,9.431,Ti,Cu,,5,0,95,anatase,https://link.springer.com/article/10.1007/s10971-015-3661-0 
2.28,"5 mol % Cu, 15 mol % Zr co-doped TiO2 (700 °C)",,127.2,3.834,11.442,Ti,Zr,Cu,15,5,80,anatase,https://link.springer.com/article/10.1007/s10971-015-3661-0 
2.32,"5 mol % Cu, 15 mol % Zr co-doped TiO2 (600 °C)",,156.6,3.808,10,Ti,Zr,Cu,15,5,80,anatase,https://link.springer.com/article/10.1007/s10971-015-3661-0 
2.95,undoped-TiO2,132.7,146.07,3.79,9.63,Ti,,,0,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S0926337311006096?via%3Dihub  
2.85,S-doped TiO2 (K2S2O8/Ti = 0.25),129.9,183.45,3.78,9.59,Ti,S,,2.5,0,97.5,anatase,https://www.sciencedirect.com/science/article/pii/S0926337311006096?via%3Dihub 
2.83,S-doped TiO2 (K2S2O8/Ti = 0.5),94.1,216.22,3.79,9.58,Ti,S,,5,0,95,anatase,https://www.sciencedirect.com/science/article/pii/S0926337311006096?via%3Dihub 
2.78,S-doped TiO2 (K2S2O8/Ti = 1),73.4,223,3.79,9.52,,S,,10,0,90,anatase,https://www.sciencedirect.com/science/article/pii/S0926337311006096?via%3Dihub 
2.79,S-doped TiO2 (K2S2O8/Ti = 2),61.2,235,3.79,9.47,,S,,20,0,80,anatase,https://www.sciencedirect.com/science/article/pii/S0926337311006096?via%3Dihub 
2.82,S-doped TiO2 (K2S2O8/Ti = 3),67.3,246,3.78,9.46,,S,,30,0,70,anatase,https://www.sciencedirect.com/science/article/pii/S0926337311006096?via%3Dihub 
3.23,pure TiO2,160,44.8,3.774,9.448,Ti,,,0,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S0926860X13006030?via%3Dihub 
2.95,S0.05/TiO2,111,48.6,3.775,9.548,Ti,S,,5,0,95,anatase,https://www.sciencedirect.com/science/article/pii/S0926860X13006030?via%3Dihub 
2.81,S0.05V0.001/TiO2,107,64.4,3.777,9.461,Ti,S,V,5,0.1,94.9,anatase,https://www.sciencedirect.com/science/article/pii/S0926860X13006030?via%3Dihub 
2.88,S0.05Fe0.001/TiO2,107,66.6,3.782,9.667,Ti,S,Fe,5,0.1,94.9,anatase,https://www.sciencedirect.com/science/article/pii/S0926860X13006030?via%3Dihub 
3.23,S0.05Zn0.001/TiO2,118,61.8,3.793,9.414,Ti,S,Zn,5,0.1,94.9,anatase,https://www.sciencedirect.com/science/article/pii/S0926860X13006030?via%3Dihub 
3.11,undoped-TiO2,,216,3.7848,9.4826,Ti,,,0,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S1566736707005419?via%3Dihub 
2.91,V-doped TiO2,,203,3.7882,9.4949,Ti,V,,,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S1566736707005419?via%3Dihub 
2.92,N-doped TiO2,,181,3.7917,9.4868,Ti,N,,3.3,0,96.7,anatase,https://www.sciencedirect.com/science/article/pii/S1566736707005419?via%3Dihub 
2.76,"V,N co-doped TiO2",,172,3.7996,9.4976,Ti,N,V,3.9,,96.1,anatase,https://www.sciencedirect.com/science/article/pii/S1566736707005419?via%3Dihub 
3.18,pure TiO2,,80.37,3.786,9.526,Ti,,,,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S0925838815007343?via%3Dihub
2.9,N−TiO2,,96.49,3.785,9.471,Ti,N,,,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S0925838815007343?via%3Dihub
3.02,La−TiO2,,89.42,3.78,9.518,Ti,La,,,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S0925838815007343?via%3Dihub
2.84,N/La−TiO2,,116.25,3.786,9.478,Ti,N,La,,,100,anatase,https://www.sciencedirect.com/science/article/pii/S0925838815007343?via%3Dihub
2.91,undoped-TiO2,200,51.3,3.776,9.486,Ti,,,,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S0169433215000938?via%3Dihub
2.72,"Ce-doped TiO2, “C0.03T1”",141,63.52,3.774,9.454,Ti,Ce,,3,0,97,anatase,https://www.sciencedirect.com/science/article/pii/S0169433215000938?via%3Dihub
2.67,"Ce-doped TiO2, “C0.01T1”",137,67.43,3.772,9.442,Ti,Ce,,1,,99,anatase,https://www.sciencedirect.com/science/article/pii/S0169433215000938?via%3Dihub
2.7,"Ce-doped TiO2, “C0.05T1”",145,60.14,3.771,9.45,Ti,Ce,,5,,95,anatase,https://www.sciencedirect.com/science/article/pii/S0169433215000938?via%3Dihub
2.65,"Ce,Si co-doped TiO2, “C0.01T1S0.05”",106,102.41,3.77,9.457,Ti,Si,Ce,5,1,94,anatase,https://www.sciencedirect.com/science/article/pii/S0169433215000938?via%3Dihub
2.51,"Ce,Si co-doped TiO2, “C0.01T1S0.5”",85,164.48,3.76,9.462,Ti,Si,Ce,30,1,69,anatase,https://www.sciencedirect.com/science/article/pii/S0169433215000938?via%3Dihub
2.71,"Ce,Si co-doped TiO2, “C0.01T1S1”",78,168.54,3.76,9.481,Ti,Si,Ce,50,1,49,anatase,https://www.sciencedirect.com/science/article/pii/S0169433215000938?via%3Dihub
2.82,"Ce-doped TiO2, “C0.005T1”",,53.57,3.758,9.442,Ti,Ce,,0.5,0,99.5,anatase,https://www.sciencedirect.com/science/article/pii/S0169433215000938?via%3Dihub
3.21,undoped-TiO2 (475 °C),,71.4,3.822,10.61,Ti,,,0,0,100,anatase,https://link.springer.com/article/10.1007/s11082-016-0435-z
3.2,Ce(2%)Co(4%)−TiO2 (600 °C),,43.6,3.806,11.18,Ti,Co,Ce,4,2,94,anatase,https://link.springer.com/article/10.1007/s11082-016-0435-z
