sample,crystal_system,alpha,beta,gamma,a,b,c,band_gap
BeO,Triclinic,-0.0012066673313385363,0.20373635864354966,-0.08396103230992537,1.5237146225732439,1.7442976617629116,-0.12547844779638787,4.4843
Na2O,Trigonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,-0.7167840311791391,-1.0151487552143814,-0.3253647329620602,1.626
MgO,Triclinic,-0.11464831406782114,0.20373635864354966,-0.21108409337213171,-0.22055337909010334,-0.042715509931390436,-0.1590781661332655,1.9229
PbO,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,0.1698793603103637,0.35728520515596063,-0.7957044083056872,2.1565
OF2,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,0.11572687419488863,0.30180565391953096,-0.026447699014011058,2.1241
HgO,Trigonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,-1.3097871816041633,-1.5214281991106147,-0.7222716976542958,1.2712
NiO,Cubic,-1.8564237103083086,-1.869537738453894,-1.431465479569313,0.41122562559044795,-0.052104796123151706,0.42963106881581553,2.3009
BaO,Tetragonal,0.05551415603690277,0.07173014272348734,-0.04466844979978912,1.191589692482905,0.614134979398695,-1.2709635821496825,2.7678
B6O,Trigonal,-1.6575821722084068,-1.6676458788114465,-1.2872385884732827,-0.33169968546908857,-0.6863810441836813,-0.06762131507848818,1.8564
MgO,Triclinic,0.3748077797165534,0.19208875135648495,-0.32156559007710384,-0.29676798917855046,-0.12079784130118132,-0.11752061976923228,1.8773
MgO,Orthorhombic,3.895322704280202,3.0153393398821238,-1.688022930076675,-0.04954170265058577,0.13248699221823335,-0.35559230824829413,3.0614
CaO,Triclinic,-0.11528562668993654,-0.1262791811566057,0.3288422168848026,0.7236052445713866,0.9245807398667466,0.46627448633401974,2.4878
MgO,Triclinic,0.14983642410993345,-0.032451233566365416,-0.09181954881195276,1.3553842492519372,1.5718421709584365,0.08142508090964959,2.8658
BaO,Triclinic,-0.11974681504474159,0.3441547353820461,-0.1630084630067886,-1.2116775848455699,-1.058128284104332,0.8696921571550854,1.3299
CaO,Cubic,-1.8564237103083086,-1.869537738453894,-1.431465479569313,0.5792522197296184,0.09134875986484942,0.5420940893234685,3.6301
HgO,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,-1.4510182024917466,-1.3033342019147285,-0.6641791950790932,1.1867
Li2O,Triclinic,-0.04964242661208421,0.18044114406942113,-0.1838104184533316,1.1167121808170621,1.3273211858793537,0.1503929238116618,2.723
MgO,Cubic,-1.8564237103083086,-1.869537738453894,-1.431465479569313,1.462792264347203,0.8456755490706686,1.1334622752122994,4.4292
Cs2O,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,-0.675668254684055,-0.5089834667733663,0.00803622243699525,1.6506
MgO,Hexagonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,1.0465079109514819,0.49027067341556774,4.358094493170012,4.0527
SrO,Cubic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,1.1494710921708686,0.5781760110047126,0.9237511542288949,2.7426
BaO,Triclinic,0.4723166109001592,0.38815680735540053,-0.1999897171339758,-0.48479745485728576,-0.3134351719832315,1.0226592958992924,1.7648
N2O,Cubic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,0.24710927215969822,-0.19221996429661806,0.3197852380645456,3.3297
Na2O,Trigonal,-3.9633792390207314,-4.008814943511369,-2.9597158063753284,-1.6144784846551274,-1.7815599426908948,-0.9262067023425559,1.0889
BaO,Triclinic,0.2537183815146896,0.17138189395726,0.08153007990923773,-0.555329396649665,-0.3856955751368543,0.9362284414932448,1.7226
Li2O,Cubic,-1.8564237103083086,-1.869537738453894,-1.431465479569313,1.9817932616485354,1.2887752798342922,1.4808383563738778,4.8986
B8O,Monoclinic,-0.09744087327071449,0.07173014272348734,-0.04466844979978912,0.6535747146874844,0.8528340362616097,0.1262983889516639,2.4459
H2O,Triclinic,-0.3166764152782986,-0.8037816716875117,-0.7371424333313715,1.3541050082016532,1.570531580725485,0.14663506057661638,4.3309
BaO,Cubic,-1.8564237103083086,-1.869537738453894,-1.431465479569313,0.059735877748331785,-0.35219094903007964,0.19437307931531575,2.0906
FeO,Hexagonal,-0.08533193345052739,-0.07127659118991267,-1.4675222023433208,-1.6153141711692551,-1.7822734142860135,-0.9782923513731943,1.0884
Li2O,Triclinic,0.4614822963242029,0.16944062607608254,0.01311475977394104,1.1384400301843838,1.3495814996470579,0.07921457312432834,2.736
ClO,Tetragonal,1.4372079207823758,1.4746197315210086,0.6552017845572307,-0.6058048621029782,-0.9203997273826168,0.8175241734215118,1.6924
FeO,Tetragonal,0.4506479817482466,0.47292550483347967,2.341546972756972,-0.2820599065299026,-0.6440008314336303,-0.9256822660825567,1.8861
Na2O,Cubic,-1.8564237103083086,-1.869537738453894,-1.431465479569313,-0.30295206938309527,-0.6618376213115978,-0.04838005297954102,1.8736
SrO,Hexagonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,1.4782301668287103,0.8588557365244112,-0.7700625179959648,2.9393
HgO,Monoclinic,-0.01905142075056058,0.07173014272348734,-0.04466844979978912,-1.2544647343689088,-1.1019639789084252,-0.5023700251936026,1.3043
Na2O,Hexagonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,-0.7248066217147646,-1.0219980825275206,-1.3560681318845376,1.6212
FeO,Trigonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,0.05505603326921664,-0.3561863899627443,0.19124078083409182,2.0878
K2O,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,-1.2088362506975359,-1.055217319996248,-0.7404417136726645,1.3316
CaO,Tetragonal,4.404535489350144,4.487467483108305,-2.7734227387096224,-0.37699389453481086,-0.7250512046391153,-0.19157263057748292,1.8293
BeO,Triclinic,0.010264959866733167,0.05037619603053626,-0.08303650095674588,1.3432694526550988,1.5594304881950636,-0.0229108865574976,4.3211
ZnO,Triclinic,-0.01905142075056058,-0.29258112964413424,0.01681288518665969,-1.3012631791600608,-1.1499092701004026,0.24124479378835106,1.2763
H2O,Orthorhombic,0.05551415603690277,0.07173014272348734,1.8871398126691572,1.9162270939025419,2.146429074854738,-0.9281138246464097,4.8393
CaO,Triclinic,0.5768358809270308,-0.35923132689789106,-0.07194212471858992,-0.13631617846602959,0.04358601421416854,0.596252344110889,1.9733
MgO,Trigonal,-5.134759838468231,-5.198165065379377,-3.8093601199474567,0.8713699519132816,0.3407457536180429,0.7376133919286852,3.8943
FeO,Monoclinic,1.2307186312170924,0.1422628757395991,0.03206765251412438,-0.42780363459377563,-0.25504465663871684,-0.9595030351979665,1.7989
SrO,Hexagonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,0.8514652812329264,0.32375204018538206,-1.0045973940185131,2.5643
CaO,Triclinic,-0.2752510948408186,-0.4077630239273256,0.07598289179015943,0.1317720552661413,0.31824403947106666,0.438422088238976,2.1337
BaO,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,0.38147518568750194,0.5740664146168296,9.496419840148464,2.2831
K2O,Trigonal,0.42897935259633396,-1.5718766633400292,2.6826990420802748,-0.3367138045538552,-0.6906618737543938,-0.0709773491655141,1.8534
ZnO,Triclinic,0.07208428421189492,0.2665040201349516,-0.30631082274963917,-1.3993727759186543,-1.2504231484207255,0.19239257173275898,1.2176
