sample,crystal_system,a,b,c,alpha,beta,gamma,cbm,vbm,band_gap
BeO,Triclinic,8.894,9.895,9.133,89.11,92.04,89.15,6.5452,2.0609,4.4843
Na2O,Trigonal,6.054,6.054,3.569,90,90,120,3.0836,1.4576,1.626
MgO,Triclinic,9.741,10.461,8.981,87.33,92.04,86.4,5.2468,3.3239,1.9229
PbO,Orthorhombic,4.728,5.621,6.101,90,90,90,6.0606,3.9041,2.1565
OF2,Orthorhombic,3.15,5.411,9.581,90,90,90,-0.1324,-2.2565,2.1241
HgO,Trigonal,3.747,3.747,8.899,90,90,120,1.5699,0.2987,1.2712
NiO,Cubic,2.96,2.96,2.96,60,60,60,7.9928,5.6919,2.3009
BaO,Tetragonal,4.759,4.759,3.951,90,90,90,4.3146,1.5468,2.7678
B6O,Trigonal,5.136,5.136,5.136,63.12,63.12,63.12,6.9422,5.0858,1.8564
MgO,Triclinic,10.103,10.847,9.169,95.01,91.86,84.01,4.2604,2.3831,1.8773
MgO,Orthorhombic,8.092,8.092,8.092,150.25,135.49,54.45,5.3213,2.2599,3.0614
CaO,Triclinic,12.083,11.738,11.81,87.32,86.94,98.08,4.0127,1.5249,2.4878
MgO,Triclinic,9.795,9.759,10.069,91.48,88.39,88.98,5.4427,2.5769,2.8658
BaO,Triclinic,13.251,14.548,13.635,87.25,94.21,87.44,2.3873,1.0574,1.3299
CaO,Cubic,3.399,3.399,3.399,60,60,60,5.868,2.2379,3.6301
HgO,Orthorhombic,3.585,5.564,6.696,90,90,90,1.585,0.3983,1.1867
Li2O,Triclinic,9.598,10.08,10.381,88.35,91.68,86.99,2.4364,-0.2866,2.723
MgO,Cubic,2.966,2.966,2.966,60,60,60,7.0133,2.5841,4.4292
Cs2O,Orthorhombic,7.049,5.388,9.737,90,90,90,3.7467,2.0961,1.6506
MgO,Hexagonal,2.961,2.961,29.416,90,90,120,8.0137,3.961,4.0527
SrO,Cubic,3.142,3.142,3.142,90,90,90,5.6854,2.9428,2.7426
BaO,Triclinic,13.185,13.956,14.327,96.54,94.89,86.64,2.7293,0.9645,1.7648
N2O,Cubic,5.947,5.947,5.947,90,90,90,0.9896,-2.3401,3.3297
Na2O,Trigonal,8.178,8.178,8.178,26.94,26.94,26.94,1.1668,0.0779,1.0889
BaO,Triclinic,14.359,13.087,13.936,93.11,91.54,92.73,2.6075,0.8849,1.7226
Li2O,Cubic,3.291,3.291,3.291,60,60,60,4.7482,-0.1504,4.8986
B8O,Monoclinic,5.319,7.359,10.272,87.6,90,90,7.2649,4.819,2.4459
H2O,Triclinic,5.633,6.152,10.364,84.16,76.47,75.02,1.2699,-3.061,4.3309
BaO,Cubic,3.946,3.946,3.946,60,60,60,3.7027,1.6121,2.0906
FeO,Hexagonal,3.085,3.085,5.275,87.79,87.79,59.22,4.9901,3.9017,1.0884
Li2O,Triclinic,10.118,9.716,10.059,96.37,91.51,91.25,2.6577,-0.0783,2.736
ClO,Tetragonal,13.399,13.399,13.399,111.68,111.68,105.14,-4.4131,-6.1055,1.6924
FeO,Tetragonal,5.513,5.513,5.513,96.2,96.2,141.62,-1.2841,-3.1702,1.8861
Na2O,Cubic,3.878,3.878,3.878,60,60,60,2.4796,0.606,1.8736
SrO,Hexagonal,3.553,3.553,6.217,90,90,120,5.0278,2.0885,2.9393
HgO,Monoclinic,5.822,6.736,7.428,88.83,90,90,1.6941,0.3898,1.3043
Na2O,Hexagonal,6.056,6.056,3.566,90,90,120,2.8381,1.2169,1.6212
FeO,Trigonal,5.319,5.319,10.502,90,90,120,5.2226,3.1348,2.0878
K2O,Orthorhombic,12.789,6.572,6.351,90,90,90,1.6916,0.36,1.3316
CaO,Tetragonal,8.834,8.834,8.834,158.24,158.24,30.97,1.8898,0.0605,1.8293
BeO,Triclinic,9.451,9.482,9.597,89.29,89.67,89.17,5.9434,1.6223,4.3211
ZnO,Triclinic,10.443,9.977,10.792,88.83,84.37,91.33,1.5209,0.2446,1.2763
